word,lang,poet,century
بام,fa,Rudaki,3
اشک,fa,Rudaki,3
غم,ar,Rudaki,3
همی,fa,Rudaki,3
برم,fa,Rudaki,3
نهانی,fa,Rudaki,3
حملان,ar,Rudaki,3
فزون,ar,Rudaki,3
ترک,fa,Rudaki,3
همی,fa,Rudaki,3
زان,fa,Rudaki,3
شهرهٔ,fa,Rudaki,3
تیره,fa,Rudaki,3
جو,fa,Rudaki,3
آسا,fa,Rudaki,3
آدمی,fa,Rudaki,3
هجر,fa,Rudaki,3
خیل,fa,Rudaki,3
تیز,fa,Rudaki,3
نحس,ar,Rudaki,3
گلستان,fa,Rudaki,3
جانت,fa,Rudaki,3
سپید,fa,Rudaki,3
گرگ,fa,Rudaki,3
چرخ,fa,Rudaki,3
رود,fa,Rudaki,3
زمانه,fa,Rudaki,3
دل,fa,Rudaki,3
زان,fa,Rudaki,3
کین,fa,Rudaki,3
آیین,fa,Rudaki,3
هم،,fa,Rudaki,3
آذر,fa,Rudaki,3
خستی,fa,Rudaki,3
پیری,fa,Rudaki,3
یوسف,ar,Rudaki,3
شدست,fa,Rudaki,3
خورشید,fa,Rudaki,3
زهر,fa,Rudaki,3
یاقوت,ar,Rudaki,3
بلور,ar,Rudaki,3
ژاله,fa,Rudaki,3
فرو,fa,Rudaki,3
غم,ar,Rudaki,3
زلفکان,fa,Rudaki,3
پیشانی,fa,Rudaki,3
غم,ar,Rudaki,3
ده،,fa,Rudaki,3
نهی,fa,Rudaki,3
خاتم,fa,Rudaki,3
چوگان,fa,Rudaki,3
کنده,fa,Rudaki,3
کفیده,fa,Rudaki,3
صبا,ar,Rudaki,3
نهاد,fa,Rudaki,3
همچو,fa,Rudaki,3
شانه,fa,Rudaki,3
شیفته,fa,Rudaki,3
چنینست،,fa,Rudaki,3
شعرش,ar,Rudaki,3
کشکین,fa,Rudaki,3
عاشق,ar,Rudaki,3
نشیب,fa,Rudaki,3
هن,fa,Rudaki,3
نیک,fa,Rudaki,3
دمنده,fa,Rudaki,3
ور,fa,Rudaki,3
شب,fa,Rudaki,3
کار,fa,Rudaki,3
خدنگ,fa,Rudaki,3
که:,fa,Rudaki,3
سحابستی,ar,Rudaki,3
تا:,fa,Rudaki,3
دلبرا،,fa,Rudaki,3
بزیب,fa,Rudaki,3
بپرداخت,fa,Rudaki,3
ماه,fa,Rudaki,3
شاعران,ar,Rudaki,3
سنگ,fa,Rudaki,3
زرین,fa,Rudaki,3
دندان,fa,Rudaki,3
زبانی,fa,Rudaki,3
برآرند,fa,Rudaki,3
وآن,fa,Rudaki,3
ملک,fa,Rudaki,3
گر,fa,Rudaki,3
تاراج,fa,Rudaki,3
ستونش,fa,Rudaki,3
عیش,ar,Rudaki,3
بدویدی,fa,Rudaki,3
نبیذ,ar,Rudaki,3
تحقیق,ar,Rudaki,3
بام,fa,Rudaki,3
درا,fa,Rudaki,3
کجه,fa,Rudaki,3
فراز,fa,Rudaki,3
ایمان,fa,Rudaki,3
شدست,fa,Rudaki,3
انبان,fa,Rudaki,3
بشو,fa,Rudaki,3
خانه,fa,Rudaki,3
پاسخ,fa,Rudaki,3
عشق،,ar,Rudaki,3
مجلس,ar,Rudaki,3
گریه,fa,Rudaki,3
جام,fa,Rudaki,3
مهجوران,fa,Rudaki,3
دگر,fa,Rudaki,3
گردش,fa,Rudaki,3
راز,fa,Rudaki,3
تیمار,fa,Rudaki,3
گوسپند,fa,Rudaki,3
ببرند,fa,Rudaki,3
رباید,fa,Rudaki,3
شب,fa,Rudaki,3
چراغ,fa,Rudaki,3
بود،,fa,Rudaki,3
ندیدی,fa,Rudaki,3
ترا,fa,Rudaki,3
مکن,fa,Rudaki,3
شعر,ar,Rudaki,3
هفتم,fa,Rudaki,3
ببریده,fa,Rudaki,3
جان,fa,Rudaki,3
خیری,fa,Rudaki,3
زمین,fa,Rudaki,3
فدست,fa,Rudaki,3
غم,ar,Rudaki,3
خوبان,fa,Rudaki,3
برده،,fa,Rudaki,3
همچو,fa,Rudaki,3
خون,fa,Rudaki,3
می‌دهی,fa,Rudaki,3
شب,fa,Rudaki,3
پوشیده,fa,Rudaki,3
او،,fa,Rudaki,3
که:,fa,Rudaki,3
غم,ar,Rudaki,3
گرد,fa,Rudaki,3
جشن,fa,Rudaki,3
انگشت,fa,Rudaki,3
فرخشه,fa,Rudaki,3
حاجت,ar,Rudaki,3
ببینی,ar,Rudaki,3
نکو,fa,Rudaki,3
درد,fa,Rudaki,3
جوش,fa,Rudaki,3
مناقب,ar,Rudaki,3
زنگارگون,fa,Rudaki,3
افغان,fa,Rudaki,3
زاری,fa,Rudaki,3
چیره,fa,Rudaki,3
شعر,ar,Rudaki,3
خون,fa,Rudaki,3
تتاری,ar,Rudaki,3
خرد,fa,Rudaki,3
ترا,fa,Rudaki,3
آفریده,fa,Rudaki,3
فؤادی,ar,Rudaki,3
خنده,fa,Rudaki,3
سان,fa,Rudaki,3
گزین,fa,Rudaki,3
بخیلا،,fa,Rudaki,3
قضیب,ar,Rudaki,3
اینند,fa,Rudaki,3
آسوده,fa,Rudaki,3
خواره,fa,Rudaki,3
مستی,ar,Rudaki,3
پسر،,fa,Rudaki,3
اندران,fa,Rudaki,3
ملکا،,fa,Rudaki,3
سار,fa,Rudaki,3
حیف,ar,Rudaki,3
بینند,fa,Rudaki,3
خواجه,fa,Rudaki,3
بت،,ar,Rudaki,3
کرانه,fa,Rudaki,3
دست,fa,Rudaki,3
زرین,fa,Rudaki,3
آوردش,fa,Rudaki,3
چشم,fa,Rudaki,3
خوردند,fa,Rudaki,3
کبتی،,fa,Rudaki,3
برکند,fa,Rudaki,3
مویه,fa,Rudaki,3
عطارد,ar,Rudaki,3
دشت,fa,Rudaki,3
تک,fa,Rudaki,3
مادندرا؟,fa,Rudaki,3
بهر,fa,Rudaki,3
عدن,ar,Rudaki,3
نهاده,fa,Rudaki,3
رخشی,fa,Rudaki,3
سپنج,fa,Rudaki,3
زوی,fa,Rudaki,3
بهی,fa,Rudaki,3
نیل,fa,Rudaki,3
دیوانگان,fa,Rudaki,3
چندگاه,fa,Rudaki,3
فضل,ar,Rudaki,3
خاک,fa,Rudaki,3
