poet,century,ar,fa,ratio,period
Abusaeid Abolkheir,5,3014,8277,0.3641415971970521,Khorasani Style
Ahmad Shamlou,14,8232,28862,0.28521931952047674,Contemporary
Akhavan-Sales,14,3338,14937,0.2234719153779206,Contemporary
Amir Khusrow,8,10582,41997,0.2519703788365836,Iraqi Style
Anvari,6,29430,67188,0.438024647258439,Iraqi Style
Artimani,10,2616,7706,0.33947573319491303,Indian Style
Asadi Tusi,5,7794,54032,0.14424785312407462,Khorasani Style
Attar,6,200268,509962,0.3927116138065189,Iraqi Style
Awhadi,8,26436,81229,0.3254502702236886,Iraqi Style
Baba Tahir,5,1416,4249,0.33325488350200044,Khorasani Style
Bastami,13,13362,33421,0.3998085036354388,Indian Style
Bidel,11,83240,201456,0.413191962512906,Indian Style
Fakhruddin Gurgani,5,11928,49187,0.24250310041271067,Khorasani Style
Farrukhi Sistani,5,4478,16999,0.2634272604270839,Khorasani Style
Ferdowsi,4,24364,295851,0.08235226516050309,Khorasani Style
Feyz,11,23215,51937,0.4469838458131968,Indian Style
Forough Farrokhzad,14,3678,13202,0.2785941524011513,Contemporary
Hafez,8,12226,26572,0.46010838476591903,Iraqi Style
Hatef Esfehani,12,3944,8817,0.44731768175116254,Indian Style
Hilali,9,6113,16910,0.36150206978119453,Iraqi Style
Hujviri,5,40099,42013,0.954442672506129,Khorasani Style
Iqbal,14,16022,41380,0.38719188013533107,Contemporary
Jami,9,9209,26150,0.3521606118546845,Iraqi Style
Khalil,14,165,598,0.27591973244147155,Contemporary
Khaqani,6,42193,98790,0.4270978844012552,Iraqi Style
Khayyam,6,2907,7471,0.38910453754517466,Iraqi Style
Khwaju Kermani,7,20364,53963,0.3773696792246539,Iraqi Style
Kisai,4,625,1933,0.3233316088980859,Khorasani Style
Mahmoud Shabestari,8,3821,6429,0.5943381552340955,Iraqi Style
Mahsati,6,604,2143,0.28184787680821277,Iraqi Style
Manuchihri,5,5959,16421,0.3628889836185372,Khorasani Style
Masud Sa'd Salman,5,2228,6196,0.35958683021304066,Khorasani Style
Mohammad-Taghi Bahar,14,39672,119240,0.3327071452532707,Contemporary
Mohtasham,10,27771,61190,0.4538486680830201,Indian Style
Mola-Hadi Sabzevari,13,4621,9580,0.4823590814196242,Indian Style
Naser Khosrow,5,24133,70573,0.3419579725957519,Khorasani Style
Nima Yushij,14,1780,6808,0.26145710928319627,Contemporary
Nizami,6,31678,145166,0.21821914222338565,Iraqi Style
Orfi,10,9853,22757,0.4329656808893967,Indian Style
Parvin E'tesami,14,7702,31913,0.24134365305674804,Contemporary
Qaani,13,52002,124498,0.4176934569230028,Indian Style
Rahi Mo'ayeri,14,1764,6666,0.2646264626462646,Contemporary
Rudaki,3,1395,6277,0.22223992353034888,Khorasani Style
Rumi,7,140872,344379,0.40906094738645504,Iraqi Style
Saadi,7,36550,87030,0.41997012524416866,Iraqi Style
Saib Tabrizi,11,180721,480319,0.3762520325033988,Indian Style
Sanai,6,56044,135984,0.4121367219672903,Iraqi Style
Shah Nimatullah Wali,8,33708,62714,0.5374876423127213,Iraqi Style
Shahriar,14,7188,16513,0.43529340519590626,Contemporary
Shater-Abbas,14,1671,3604,0.46365149833518315,Contemporary
Sheikh Bahaii,10,3623,5634,0.6430599929002485,Indian Style
Simin Behbahani,14,4094,16753,0.24437414194472631,Contemporary
Sohrab Sepehri,14,2864,11371,0.251868789024712,Contemporary
Ubayd Zakani,8,6185,15830,0.3907138344914719,Iraqi Style
Vahshi,10,20115,56990,0.3529566590629935,Indian Style
