,speaker,background,speech,type,gender,debate,day,order,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment
2,Elizabeth Warren,,Thank you. Good to be here.,Candidate,female,1,1,3,,,,,,,0.7
4,Elizabeth Warren,,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.,Candidate,female,1,1,5,,,,,,,0.49999999999999994
5,Elizabeth Warren,,"It's doing great for people who want to invest in private prisons, just not for the African Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined.",Candidate,female,1,1,6,Latinx;,,,the African Americans;,,,0.26666666666666666
6,Elizabeth Warren,,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",Candidate,female,1,1,7,,,,,,,0.21481481481481482
7,Elizabeth Warren,,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.",Candidate,female,1,1,8,,,,,,,0.45357142857142857
10,Amy Klobuchar,,"Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what's going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.",Candidate,female,1,1,11,Donald Trump;,,,,,,0.07
11,Amy Klobuchar,,"So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.",Candidate,female,1,1,12,,,,,,,0.45416666666666666
12,Amy Klobuchar,,"My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications.",Candidate,female,1,1,13,,,,,,,0.41250000000000003
13,Amy Klobuchar,,"Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.",Candidate,female,1,1,14,,Pell;,,,,,0.0
14,Amy Klobuchar,,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.",Candidate,female,1,1,15,,,,,,,0.25
