speaker,background,type,gender,debate,day,order,sentence,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment,dem_candidate_full_name
Amy Klobuchar,,Candidate,female,1,1,11,"And Donald Trump just sits in the White House and gloats about what's going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.",Donald Trump,,,,,,0.024999999999999998,
Amy Klobuchar,,Candidate,female,1,1,99,It's something that Barack Obama wanted to do when we were working on the Affordable Care Act.,Barack Obama,,,,the Affordable Care Act;,,0.0,
Amy Klobuchar,,Candidate,female,1,1,329,"But the point is, Donald Trump told us when he got out of it that he was going to give us a better deal.",Donald Trump,,,,,,0.5,
Amy Klobuchar,,Candidate,female,1,1,426,"I look at these proposals and I say, does this hurt my Uncle Dick and his deer stand, coming from a proud hunting and fishing state?",Uncle Dick,,,,,,0.8,
Amy Klobuchar,,Candidate,female,1,1,427,"When I was in the Senate, I saw those moms from Sandy Hook come and try to advocate for change, and we all failed.",Sandy Hook,Senate;,,,,,-0.5,
Amy Klobuchar,,Candidate,female,1,1,563,"In fact, Donald Trump, one of the first bills that he signed of the 34 he signed where I was the lead Democrat -- OK, that's a first up here -- was one that was about that, making sure minority community members could share in those jobs.",Donald Trump,,,Democrat;,,,0.375,
Amy Klobuchar,,Candidate,female,1,1,567,"Senator Booker and I worked on that First Step Act, but we should go to the second step act, which is to help all our communities across our country.",Booker,,,,First Step Act;,,0.125,Cory Booker
Amy Klobuchar,,Candidate,female,1,1,674,"... but if we let the Republicans run our elections and if do not do something about Russian interference in the election and we let Mitch McConnell stop all the backup paper ballots, then we're not going to get what we want to do.",Mitch McConnell,,,Russian;Republicans;,,,0.0,
Amy Klobuchar,,Candidate,female,1,1,725,"Secondly, I'm someone that can win and beat Donald trump.",Donald trump,,,,,,0.4,
Amy Klobuchar,,Candidate,female,1,1,725,"I have won in the reddest of districts, ones that Donald Trump won by over 20 points.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,29,"Tonight we debate, but ultimately, we have to beat Donald Trump.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,146,"And in one of my first debates, Jake, I was called a street fighter from the iron range by my opponent.",Jake,,,,,,0.25,
Amy Klobuchar,,Candidate,female,2,1,147,"That's what Barack Obama wanted, and it would bring health care costs down for everyone.",Barack Obama,,,,,,-0.1555555555555556,
Amy Klobuchar,,Candidate,female,2,1,148,"Well, Senator Sanders was actually on a public option bill last year, and that was, Bernie, the Medicaid public option bill that Senator Schatz introduced.",Schatz,Medicaid;,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,148,"Well, Senator Sanders was actually on a public option bill last year, and that was, Bernie, the Medicaid public option bill that Senator Schatz introduced.",Bernie,Medicaid;,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,2,1,148,"Well, Senator Sanders was actually on a public option bill last year, and that was, Bernie, the Medicaid public option bill that Senator Schatz introduced.",Sanders,Medicaid;,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,2,1,149,"I've got my friend, Nicole, out there whose son was actually died trying to ration his insulin as a restaurant manager.",Nicole,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,152,And Bernie and I have worked on pharmaceutical issues together.,Bernie,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,2,1,300,"Donald Trump wants to use these people as political pawns, when we have people...",Donald Trump,,,,,,0.1,
Amy Klobuchar,,Candidate,female,2,1,374,"I will make sure that we get universal background checks passed, the assault weapon ban, that we do something about magazines, and that we understand when 6 little - little 6-year-old boy died, Stephen Romero, when his dad said he's only 6 years old, all I can -",Stephen Romero,,,,,,0.0375,
Amy Klobuchar,,Candidate,female,2,1,383,And now that bill is sitting on Mitch McConnell's doorstep because of the money and the power of the NRA.,Mitch McConnell's,NRA;,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,509,I have won those congressional districts that Donald Trump won by over 20 points.,Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,608,"Thank you Dana, and I was just in Flint.",Dana,,Flint;,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,611,"And I would take that money and put it in to rural broadband and green infrastructure so you won't have what you just saw in Detroit with the Jefferson Chalmers neighborhood, the African neighborhood -- that was African-American neighborhood that was most-hit when you had those recent rainstorms.",Jefferson Chalmers,,Detroit;,African-American;African;,,,-0.05,
Amy Klobuchar,,Candidate,female,2,1,656,"Well, first of all, there are people that voted for Donald Trump before that aren't racist; they just wanted a better shake in the economy.",Donald Trump,,,,,,0.375,
Amy Klobuchar,,Candidate,female,2,1,846,"You've heard of the Truman doctrine, the Monroe doctrine.",Truman,Monroe;,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,848,"And when he was just with Vladimir Putin at the G20, when he was asked about invading our democracy, he made a joke.",Vladimir Putin,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,955,And out there today is Casey Jo's mom.,Casey Jo's,,,,,,0.0,
Amy Klobuchar,,Candidate,female,2,1,955,Casey Jo was a champion high school swimmer from a small town.,Casey Jo,,,,,,-0.045,
Amy Klobuchar,,Candidate,female,3,1,95,"If I could respond, George.",George,,,,,,0.0,
Amy Klobuchar,,Candidate,female,3,1,115,"I think you know that I don't agree with some of these proposals up here, George, so I'm talking about...",George,,,,,,0.0,
Amy Klobuchar,,Candidate,female,3,1,117,"First of all, Senator Sanders and I have worked valiantly to bring down the cost of pharmaceuticals.",Sanders,,,,,,0.047222222222222214,Bernie Sanders
Amy Klobuchar,,Candidate,female,3,1,119,"And while Bernie wrote the bill, I read the bill.",Bernie,,,,,,0.0,Bernie Sanders
Amy Klobuchar,,Candidate,female,3,1,120,And what I favor is something that what Barack Obama wanted to do from the very beginning.,Barack Obama,,,,,,0.2,
Amy Klobuchar,,Candidate,female,3,1,264,"And I think of an alum of that college, Barbara Jordan, and something that she once said.",Barbara Jordan,,,,,,0.0,
Amy Klobuchar,,Candidate,female,3,1,268,There was a kid named Byron Phillips that was shot on his front porch.,Byron Phillips,,,,,,0.0,
Amy Klobuchar,,Candidate,female,3,1,268,We did the same for the killer of a little girl named Tyesha Edwards who was doing her homework at her kitchen table and was shot through the window.,Tyesha Edwards,,,,,,-0.09375,
Amy Klobuchar,,Candidate,female,3,1,367,"What unites us is that right now, on Mitch McConnell's desk, are three bills - universal background checks, closing the Charleston loophole, and passing my bill to make sure that domestic abusers don't get AK-47s.",Mitch McConnell's,,Charleston;,,,AK-47s;,0.19642857142857145,
Amy Klobuchar,,Candidate,female,3,1,370,"That's what I think, David.",David,,,,,,0.0,
Amy Klobuchar,,Candidate,female,3,1,370,"But I want to finish this, because if you want action now, if you want action now, we got to send a message to Mitch McConnell.",Mitch McConnell,,,,,,0.1,
Amy Klobuchar,,Candidate,female,3,1,503,"What we've got right now, though, George, it's not a focused tariff on steel.",George,,,,,,0.2857142857142857,
Amy Klobuchar,,Candidate,female,3,1,506,"And he has made a mockery of focused trade policy, which I think means enforcement, like we've done in northern Minnesota, passing bills, getting President Obama to do more on that, so that our workers can benefit, so we are importing, exporting goods and making sure that it's a competitive policy where our goal is that we are making things, inventing things, and exporting to the world.",Obama,,Minnesota;,,,,0.5,
Amy Klobuchar,,Candidate,female,3,1,667,"On day two, I will bring back the clean power rules that President Obama had worked on.",Obama,,,,,,0.18333333333333332,
Amy Klobuchar,,Candidate,female,4,1,31,And I would like to hear from him about how coddling up to Vladimir Putin makes America great again.,Vladimir Putin,,America;,,,,0.8,
Amy Klobuchar,,Candidate,female,4,1,120,At least Bernie's being honest here and saying how he's going to pay for this and that taxes are going to go up.,Bernie,,,,,,0.15,Bernie Sanders
Amy Klobuchar,,Candidate,female,4,1,120,"And I'm sorry, Elizabeth, but you have not said that, and I think we owe it to the American people to tell them where we're going to send the invoice.",Elizabeth,,,American;,,,-0.25,Elizabeth Warren
Amy Klobuchar,,Candidate,female,4,1,121,I believe the best and boldest idea here is to not trash Obamacare but to do exactly what Barack Obama wanted to do from the beginning and that's have a public option that would bring down the cost of the premium and expand the number of people covered and take on the pharmaceutical companies.,Barack Obama,Obamacare;,,,,,0.2736111111111111,
Amy Klobuchar,,Candidate,female,4,1,129,And I appreciate Elizabeth's work.,Elizabeth,,,,,,0.0,Elizabeth Warren
Amy Klobuchar,,Candidate,female,4,1,271,"But I want to give a reality check here to Elizabeth, because no one on this stage wants to protect billionaires.",Elizabeth,,,,,,0.2,Elizabeth Warren
Amy Klobuchar,,Candidate,female,4,1,273,"And when I look at this, I think about Donald Trump, the guy that after that tax bill passed went to Mar-a-Lago, got together with his cronies, and said, guess what, you guys all got a lot richer.",Donald Trump,,,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,284,"So just because we have different ideas, and get to the same place in terms of beating Donald Trump and taking this on, we are in Ohio.",Donald Trump,,Ohio;,,,,0.0,
Amy Klobuchar,,Candidate,female,4,1,404,"We continue that humanitarian aid, but then we work with our allies to say come back, Turkey, and stop this, because what Mayor Pete has just said is true.",Pete,,Turkey;,,,,0.175,Pete Buttigieg
