"rivalryno","rivalryname","sidea","sideb","styear","endyear","region","type1","type2","type3"
1,"Austria-France","Austria","France",1494,1918,"European GPs","spatial","positional",
2,"Austria-Ottoman Empire","Austria","Ottoman Empire",1494,1908,"European GPs","spatial","positional",
4,"France-Spain","France","Spain",1494,1700,"European GPs","positional","spatial",
3,"Britain-France 1","Great Britain","France",1494,1716,"European GPs","spatial","positional",
5,"Ottoman Empire-Spain","Ottoman Empire","Spain",1494,1585,"European GPs","spatial","positional",
6,"Ottoman Empire-Venice","Ottoman Empire","Venice",1494,1717,"European GPs","spatial","positional",
7,"Portugal-Spain","Portugal","Spain",1494,1580,"European GPs","spatial","positional",
8,"Portugal-Venice","Portugal","Venice",1494,1580,"European GPs","positional",,
9,"Ottoman Empire-Portugal","Ottoman Empire","Portugal",1501,1580,"European GPs","positional",,
10,"Britain-Spain 1","Britain","Spain",1568,1667,"European GPs","positional","spatial",
11,"Netherlands-Spain","Netherlands","Spain",1579,1648,"European GPs","positional","spatial",
12,"Britain-Netherlands","Britain","Netherlands",1651,1688,"European GPs","positional",,
13,"France-Netherlands","France","Netherlands",1668,1713,"European GPs","positional","spatial",
14,"Ottoman Empire-Russia","Ottoman Empire","Russia",1668,1918,"European GPs","spatial","positional",
15,"Russia-Sweden","Russia","Sweden",1700,1815,"European GPs","spatial","positional",
16,"Austria-Spain","Austria","Spain",1701,1793,"European GPs","spatial","positional",
17,"Britain-Spain 2","Britain","Spain",1701,1808,"European GPs","positional","spatial",
18,"Britain-France 2","Britain","France",1731,1904,"European GPs","spatial","positional",
19,"France-Russia","France","Russia",1732,1894,"European GPs","positional",,
20,"Austria-Prussia","Austria","Prussia",1740,1870,"European GPs","spatial","positional",
21,"Prussia-Russia 1","Prussia","Russia",1744,1807,"European GPs","spatial","positional",
22,"France-Prussia","France","Prussia",1756,1955,"European GPs","spatial","positional",
23,"Austria-Russia","Austria","Russia",1768,1918,"European GPs","spatial","positional",
24,"Britain-Russia","Britain","Russia",1778,1956,"European GPs","positional",,
25,"Afghanistan-Iran 1","Afghanistan","Iran",1816,1937,"Central Asia","spatial",,
27,"Britain-United States","Britain","United States",1816,1904,"North America","positional","spatial",
26,"Britain-Burma","Britain","Burma",1816,1826,"South Asia","spatial","positional",
28,"Burma-Thailand","Burma","Thailand",1816,1826,"Southeast Asia","spatial","positional",
29,"China-Russia 1","China","Russia",1816,1949,"East Asia","positional","spatial",
30,"Iran-Ottoman Empire","Iran","Ottoman Empire",1816,1932,"Southwest Eurasia","spatial",,
